,brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired,master_style
379,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,kKHKCn,,Trip in the Woods: Maple Scotch,Scotch Ale,9.8,,N,Ale
380,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,ep9tZr,,Trip In the Woods: Rye Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,9.6,28.0,N,Other
381,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,LPQCSx,,Trip In The Woods: Tawny Narwhal,British-Style Imperial Stout,11.4,,N,Stout
382,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,K2y0MV,,Trip In the Woods: Tequila-Barrel-Aged Otra Vez,Contemporary Gose,7.5,9.0,N,Other
383,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,KuflHE,,Tropical Torpedo,American-Style India Pale Ale,6.7,55.0,N,IPA
384,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,isCgs7,Seasonal,Tumbler,American-Style Brown Ale,5.5,37.0,N,Ale
385,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,bf76fr,Year Round,Twin Peaks,American-Style Pale Ale,5.0,,N,Pale Ale
386,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,Mp3DgY,Limited,Two-Headed Ruthless Rye IPA,Rye Ale or Lager with or without Yeast,9.7,,N,Other
387,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,ExTe8O,,Unfiltered Wheat Beer,American-Style Wheat Beer,4.4,,N,Wheat Beer
388,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,lAM2hZ,,Unibrown,American-Style Brown Ale,7.1,,N,Ale
389,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,7IjJ76,,Vienna,Vienna-Style Lager,5.3,,N,Lager
390,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,l7irOy,,Weizenbock - Beer Camp #37,South German-Style Weizenbock / Weissbock,6.8,,N,Other
391,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,hCMeA4,,West Latitude Session Rye,Rye Ale or Lager with or without Yeast,5.5,55.0,N,Other
392,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,Jjw7Pd,,Wheat Of The Moment,American-Style Wheat Beer,5.7,,N,Wheat Beer
393,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,QCvO04,,Why Not?,French & Belgian-Style Saison,6.5,,N,Saison
394,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,Zu0hMc,Year Round,Wild Little Thing,American-Style Sour Ale,5.5,7.0,N,Ale
395,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,xMjKhw,,Wintertide Ale,Herb and Spice Beer,6.0,20.0,N,Other
396,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,TpeMIM,,Witbier with Grapefruit,Fruit Beer,7.0,22.0,N,Other
397,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,ruYTf6,,Yippe Rye Aye!,American-Style Wheat Beer,5.9,,N,Wheat Beer
398,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,,12WhgJ,,Zappa Wild Stache,American-Style India Pale Ale,7.3,53.0,N,IPA
399,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,YBW4h3,Year Round,1554,Belgian-Style Dark Strong Ale,6.0,21.0,N,Ale
400,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,qHYa65,Year Round,1969 Lager,American-Style Lager,4.7,18.0,N,Lager
401,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,4CFzKV,Year Round,Abbey,Belgian-Style Dubbel,7.0,20.0,N,Other
402,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,A33ltW,Limited,Accumulation White IPA,American-Style India Pale Ale,6.2,55.0,N,IPA
403,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,13hF2A,,Belgian Stout,American-Style Stout,7.0,,N,Stout
404,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,Yfk9kq,Year Round,Citradelic Tangerine IPA,American-Style India Pale Ale,6.0,50.0,N,IPA
405,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,IYdY2s,Limited,Cold Brew Cream Ale,American-Style Cream Ale or Lager,5.0,13.0,N,Lager
406,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,ME0zKN,Year Round,Dayblazer,Golden or Blonde Ale,4.8,13.0,N,Ale
407,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,tuqTtX,Year Round,Fat Tire Amber Ale,American-Style Amber/Red Ale,5.2,22.0,N,Ale
408,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,YEWcJI,Year Round,Fat Tire Belgian White,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.2,12.0,N,Other
409,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,Z5wGd8,Limited,Felix Aged in Apple Whiskey Barrels,Wood- and Barrel-Aged Sour Beer,8.8,,N,Other
410,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,1J1ple,Year Round,Glütiny Pale Ale,American-Style Pale Ale,6.0,30.0,N,Pale Ale
411,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,r9gGhg,Limited,Guava Sour,Wood- and Barrel-Aged Sour Beer,6.2,,N,Other
412,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,vmRlBy,Year Round,Honey Orange Tripel,Belgian-Style Tripel,10.0,25.0,N,Other
413,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,02FvxG,Limited,L'Amour en Cage,Wood- and Barrel-Aged Sour Beer,7.5,,N,Other
414,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,qhKlHV,Limited,La Folie,Wood- and Barrel-Aged Sour Beer,7.0,18.0,N,Other
415,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,DwUq7a,Limited,Le Terroir,Wood- and Barrel-Aged Sour Beer,7.5,12.0,N,Other
416,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,gH48RK,Year Round,Mountain Time,American-Style Lager,4.4,,N,Lager
417,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,a8agR7,Year Round,Mural Agua Fresca Cerveza,Fruit Beer,4.0,11.0,N,Other
418,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,h3UF4F,Limited,Nitro Cold Brew Cream Ale,American-Style Cream Ale or Lager,5.0,,N,Lager
419,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,o3thWE,Limited,Oakspire Bourbon Barrel Ale,Strong Ale,9.0,20.0,N,Ale
420,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,iUTTnW,Year Round,Old Aggie,Vienna-Style Lager,4.7,18.0,N,Lager
421,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,vibTAI,Year Round,Old Tuffy,American-Style Lager,4.7,18.0,N,Lager
422,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,LIzIVu,Limited,Oscar Aged In Blackberry Whiskey Barrels,Wood- and Barrel-Aged Sour Beer,8.8,,N,Other
423,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,TTP4r7,Limited,Oscar Worthy Coffee,Wood- and Barrel-Aged Sour Beer,7.6,,N,Other
424,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,rI2JfZ,Limited,Passion Fruit Kölsch,German-Style Kölsch / Köln-Style Kölsch,4.0,13.0,N,Other
425,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,JWH8TK,Limited,Peach Kick,American-Style Sour Ale,4.3,7.0,N,Ale
426,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,h0Bar7,Year Round,Pilsener,Bohemian-Style Pilsener,4.8,16.0,N,Other
427,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,9hjUaT,Limited,Single Foeder Felix #4,Wood- and Barrel-Aged Sour Beer,7.7,,N,Other
428,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,DkStbE,,Single Foeder Felix No 61,American-Style Sour Ale,8.5,,N,Ale
429,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,YGPBwu,,Single Foeder Oscar #65,Wild Beer,8.5,,N,Other
430,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,3KZW6O,Limited,Snow Day,American-Style Black Ale,6.2,55.0,N,Ale
431,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,reDk2y,,Tap In Golden Ale,Golden or Blonde Ale,4.8,,N,Ale
432,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,l8qpNb,Year Round,The Hemperor HPA,American-Style India Pale Ale,7.0,55.0,N,IPA
433,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,caPcOb,Limited,Transatlantique Kriek,Wood- and Barrel-Aged Sour Beer,6.2,8.0,N,Other
434,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,pYoN1d,Year Round,Trippel,Belgian-Style Tripel,8.5,43.0,N,Other
435,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,uBtMlj,Year Round,Voodoo Ranger American Haze,Juicy or Hazy India Pale Ale,5.0,30.0,N,IPA
436,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,eRme9z,Limited,Voodoo Ranger Atomic Pumpkin,Pumpkin Beer,6.4,10.0,N,Other
437,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,GRudrO,Limited,Voodoo Ranger Hop Avenger IPA,American-Style India Pale Ale,7.7,45.0,N,IPA
438,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,CzjgS6,Year Round,Voodoo Ranger Imperial IPA,Imperial or Double India Pale Ale,9.0,70.0,N,IPA
439,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,OwfqJc,Year Round,Voodoo Ranger IPA,American-Style India Pale Ale,7.0,50.0,N,IPA
440,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,ZRA7V7,Limited,Voodoo Ranger Juicifer IPA,Juicy or Hazy India Pale Ale,7.7,50.0,N,IPA
441,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,p9f5NW,Year Round,Voodoo Ranger Juicy Haze IPA,Juicy or Hazy India Pale Ale,7.5,42.0,N,IPA
442,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,Fxchjl,Limited,Voodoo Ranger Liquid Paradise IPA,American-Style India Pale Ale,7.8,44.0,N,IPA
443,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,IcD1AH,Limited,Voodoo Ranger Starship IPA,American-Style India Pale Ale,7.7,50.0,N,IPA
444,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,aBucKr,Limited,Where I Live,Wood- and Barrel-Aged Sour Beer,6.0,,N,Other
445,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,,13hF2A,,Belgian Stout,American-Style Stout,7.0,,N,Stout
446,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,8rHPm3,,A Great Day For A Beer,American-Style Pilsener,4.3,19.0,N,Other
447,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,p0qXLX,,Amber Ale,American-Style Amber/Red Ale,6.2,38.0,N,Ale
448,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,0Z3EHV,Year Round,Apricot Seed Pale Ale,American-Style Pale Ale,,,N,Pale Ale
449,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,NuFg2g,,Bartender's Choice,Imperial or Double India Pale Ale,6.5,,N,IPA
450,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,FIcMFv,,Betwixt 2 Berries,American-Style Sour Ale,6.5,,N,Ale
451,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,86YCcv,,Black Black Gose,Contemporary Gose,3.8,18.0,N,Other
452,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,sfx9il,,Brewer's IPA,Session India Pale Ale,5.0,48.0,N,IPA
453,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,o407xI,Seasonal,Chocolate Pumpkin Brown Ale,Herb and Spice Beer,,,N,Other
454,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,S98qfm,,Clown Around,American-Style Sour Ale,6.8,,N,Ale
455,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,NkTYVH,,Coffee Cascara Brown,American-Style Brown Ale,6.5,,N,Ale
456,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,2hRkGA,Seasonal,Coffee Tequila Oatmeal Stout,Oatmeal Stout,,,N,Stout
457,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,YOnoI1,,Cul Du Bouffon,French & Belgian-Style Saison,5.3,21.0,N,Saison
458,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,csm2Qw,Year Round,Dark Chocolate Blueberry Porter,Robust Porter,,,N,Porter
459,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,ZQYVeQ,Limited,Dark Chocolate Cherry Porter,Brown Porter,,,N,Porter
460,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,CNp1Kx,Year Round,Dark Chocolate Sea Salt Stout,American-Style Stout,7.1,28.0,N,Stout
461,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,kNOIG6,Limited,Directionally Challenged,American-Style India Pale Ale,5.5,,N,IPA
462,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,xrkanw,,Double Cheek IPA,Imperial or Double India Pale Ale,8.27,92.0,N,IPA
463,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,lK4JB8,,Evolved,American-Style Sour Ale,6.5,,N,Ale
464,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,UkdTjb,,Experimental Clown,American-Style India Pale Ale,6.0,,N,IPA
465,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,Zn8a25,,Fermenter #1,American-Style India Pale Ale,6.8,48.0,N,IPA
466,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,oYwFIq,,Figgatude,American-Style Pale Ale,5.8,,N,Pale Ale
467,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,BkHJnr,Seasonal,Fresh Hop Simcoe IPA,American-Style India Pale Ale,,,N,IPA
468,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,7S0MDB,,Ghost Chili Pepper IPA,American-Style Pale Ale,6.7,,N,Pale Ale
469,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,zktenZ,,Gingerbread Brown Ale,American-Style Brown Ale,6.6,,N,Ale
470,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,HKtMZ2,Seasonal,Hazelnut Nut Brown Ale,American-Style Brown Ale,,,N,Ale
471,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,x8QAXi,,Honey Kolsch,German-Style Kölsch / Köln-Style Kölsch,,,N,Other
472,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,Q5zPbh,Seasonal,Hop Pollen,American-Style India Pale Ale,6.0,,N,IPA
473,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,aBTOxN,,Imperial Dark Chocolate Black Truffle Sea Salt Stout,American-Style Imperial Stout,11.5,91.0,N,Stout
474,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,s8ZXER,Seasonal,Imperial IPA,Imperial or Double India Pale Ale,8.0,,N,IPA
475,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,x6phUz,Limited,India Brown Ale,Specialty Beer,,,N,Other
476,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,ofN9Ft,,IPA,American-Style India Pale Ale,6.7,68.0,N,IPA
477,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,TG4lsv,,Jasmine Tea IPA,American-Style India Pale Ale,6.8,70.0,N,IPA
478,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,y3g6tE,,Lemon Blonde,Golden or Blonde Ale,,,N,Ale
479,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,iTO5C7,Limited,Lemon Wheat IPA,American-Style India Pale Ale,,,N,IPA
480,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,EeIlNE,Seasonal,Little Ass Sour,Wild Beer,4.8,,N,Other
481,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,d14EKz,Summer,Mosiac Wet Hop IPA,American-Style India Pale Ale,6.9,,N,IPA
482,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,69fH2g,Year Round,Orange Citrus IPA,American-Style India Pale Ale,6.7,72.0,N,IPA
483,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,VlqXHS,,PARTLY CLOUDY WITH A CHANCE OF FUN,American-Style India Pale Ale,6.5,44.0,N,IPA
484,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,FCUqaN,Year Round,Peach Fig Pale Ale,American-Style Pale Ale,,,N,Pale Ale
485,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,sDnKSP,,Plum Sour,American-Style Sour Ale,5.5,,N,Ale
486,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,rWDejo,Year Round,Poplar Brown Ale,American-Style Brown Ale,,,N,Ale
487,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,QNiw6j,Seasonal,Pumpkin IPA,American-Style India Pale Ale,6.7,,N,IPA
488,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,FKn2UQ,Limited,Raspberry Mint IPA,American-Style Black Ale,6.8,,N,Ale
489,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,BUvRNl,,Rose Hip Hibiscus Blonde,Golden or Blonde Ale,5.5,18.0,N,Ale
490,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,T49Fnd,,Scared of Clowns,American-Style Sour Ale,,,N,Ale
491,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,lHgf6C,,She Said Her Name Was Cherri,American-Style Sour Ale,7.0,35.0,N,Ale
492,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,TpwStF,Limited,Smoked Maple Syrup Black Ale,Specialty Beer,,,N,Other
493,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,f1AYPb,Seasonal,Smoked Scotch Ale,Smoke Beer (Lager or Ale),,,N,Other
494,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,reVqdr,Year Round,Starfruit Tart,American-Style Sour Ale,6.0,,N,Ale
495,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,L2IUGk,,Tie Up Pale Ale,American-Style Pale Ale,5.8,38.0,N,Pale Ale
496,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,xnvaSs,,Trending IPA,American-Style India Pale Ale,6.7,,N,IPA
497,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,XZUz8q,,Unstable Clown,American-Style India Pale Ale,6.7,,N,IPA
498,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,Kn6tLY,Limited,Vanilla Bean Chocolate Brown Ale,American-Style Brown Ale,,,N,Ale
499,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/,UBKiER,,Word,American-Style India Pale Ale,6.8,,N,IPA
