,brewery_id,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired,master_style
1239,zeWbuM,a1EmLs,,Pearfigt,American-Style India Pale Ale,6.3,,N,IPA
1240,zeWbuM,K2UDbn,,Permeo,Wood- and Barrel-Aged Sour Beer,6.4,,N,Other
1241,zeWbuM,ndx7rb,,Pernicious IPA,American-Style India Pale Ale,7.3,70.0,N,IPA
1242,zeWbuM,xIvc3U,,Persistence,American-Style Sour Ale,9.0,,N,Ale
1243,zeWbuM,kBjb55,,Pick Me! Pale Ale: Walt's Pick,American-Style Pale Ale,5.2,,N,Pale Ale
1244,zeWbuM,wMD1lE,,Plainsdealer,Wood- and Barrel-Aged Sour Beer,8.0,,N,Other
1245,709vEK,aye7FH,Limited,Points Unknown IPA,Imperial or Double India Pale Ale,9.5,72.0,N,IPA
1246,zeWbuM,egp8Ia,,Pompoen,American-Style Sour Ale,0.0,0.0,N,Ale
1247,zeWbuM,gjW4IZ,,Poperinge Saison,French & Belgian-Style Saison,7.3,49.0,N,Saison
1248,zeWbuM,EFFuAB,Limited,Prevalence,Wood- and Barrel-Aged Sour Beer,7.2,,N,Other
1249,zeWbuM,DYKPfV,Limited,Pumpkin Up The Volume,Pumpkin Beer,7.3,,N,Other
1250,zeWbuM,IoQdqS,,Queen Bee Stout,American-Style Imperial Stout,9.0,30.0,N,Stout
1251,zeWbuM,tKGkbS,,Recurrent,American-Style Sour Ale,0.0,0.0,N,Ale
1252,zeWbuM,aFJgz3,,Red Angel,Wild Beer,7.0,,N,Other
1253,zeWbuM,SbIfw8,,Resonare,American-Style Sour Ale,6.0,,N,Ale
1254,zeWbuM,DT7u89,,Reticent Saison,French & Belgian-Style Saison,6.5,26.0,N,Saison
1255,zeWbuM,XhBZCC,,Reverence,Belgian-Style Pale Ale,,,N,Pale Ale
1256,zeWbuM,92ygKI,,Rubus Viola,American-Style Sour Ale,7.6,25.0,N,Ale
1257,zeWbuM,8pKz4b,,S'mores Stout,American-Style Imperial Stout,9.2,40.0,N,Stout
1258,zeWbuM,igfon5,,Saison V: Chocolate Raspberry,French & Belgian-Style Saison,7.0,,N,Saison
1259,zeWbuM,0lM6gR,,Sandiaca,Wood- and Barrel-Aged Sour Beer,7.6,,N,Other
1260,zeWbuM,J3jwtK,,Sauvage Wine Barrel Saison,French & Belgian-Style Saison,,,N,Saison
1261,zeWbuM,BKjO9U,,Serenity,French & Belgian-Style Saison,5.5,,N,Saison
1262,zeWbuM,6KzIFa,,Serotina,American-Style Sour Ale,8.0,,N,Ale
1263,zeWbuM,cyfIZR,,Silencio,Wood- and Barrel-Aged Sour Beer,7.4,40.0,N,Other
1264,zeWbuM,MVSPEW,,Sir Ryan the Pounder,Session Beer,5.2,60.0,N,Other
1265,zeWbuM,lw0Fyt,,Southern Ambrosia,Fruit Beer,10.0,,N,Other
1266,zeWbuM,mmWBr9,,Super Flare,American-Style India Pale Ale,7.5,,N,IPA
1267,zeWbuM,ypgHpH,,Sweet Talker IPA,American-Style India Pale Ale,4.0,25.0,N,IPA
1268,zeWbuM,uVmHoe,,Terra Locale Appalachia,French & Belgian-Style Saison,7.2,,N,Saison
1269,zeWbuM,Yfvpuf,,Terra Merita,Wood- and Barrel-Aged Sour Beer,5.7,,N,Other
1270,zeWbuM,yXjnTo,,Thirst Puncher Experimental IPA,American-Style India Pale Ale,7.5,,N,IPA
1271,zeWbuM,nMYHKg,,Tributary,French & Belgian-Style Saison,8.8,,N,Saison
1272,zeWbuM,jqyFHC,,Tropicmost Passionfruit Gose,Leipzig-Style Gose,4.1,45.0,N,Other
1273,zeWbuM,b8u1XO,,Tyranny Hoppy Red Ale,Irish-Style Red Ale,7.0,55.0,N,Ale
1274,zeWbuM,l3fbWr,,Tyrant Double Red,Imperial Red Ale,8.5,,N,Ale
1275,zeWbuM,IUcrXz,,Uncle Rick's Pilsner,American-Style Pilsener,5.0,,N,Other
1276,zeWbuM,BSkl9G,,Watermelon Dragonfruit Burst,American-Style Sour Ale,4.5,,N,Ale
1277,zeWbuM,1FgcBI,,Watermelon Saison,French & Belgian-Style Saison,4.7,,N,Saison
1278,zeWbuM,Lbs4gB,,White Angel,Wild Beer,7.3,,N,Other
1279,KDZsJL,pmLdqG,,Wicked City,Chili Pepper Beer,10.5,56.0,N,Other
1280,zeWbuM,Z4HwWZ,Limited,Wicked Weed Lost Toys Blend #1,Wild Beer,6.4,,N,Other
1281,zeWbuM,SZsbMc,,Xibalba,Herb and Spice Beer,8.2,,N,Other
1282,zeWbuM,HjR9Kl,,XII Peach Habanero Saison,French & Belgian-Style Saison,6.6,,N,Saison
1283,zeWbuM,J3EsS0,,XLIV Mango Habanero Saison,French & Belgian-Style Saison,7.3,25.0,N,Saison
1284,zeWbuM,S6ZWR1,,XXXI Saison,French & Belgian-Style Saison,,,N,Saison
1285,zeWbuM,neSCIv,,Abundance,American-Style India Pale Ale,6.7,,N,IPA
1286,zeWbuM,BUu9h9,,Aicha,Wood- and Barrel-Aged Sour Beer,6.4,,N,Other
1287,zeWbuM,dHnbxN,,Amorous - Royal Cache Barrel Reserve Series,Wood- and Barrel-Aged Sour Beer,7.0,,N,Other
1288,zeWbuM,QunAJY,,Angel of Darkness,American-Style Sour Ale,11.0,,N,Ale
1289,zeWbuM,nocxqa,,Appalachia,Session India Pale Ale,4.7,,N,IPA
1290,zeWbuM,x7i8Fx,,Arcanic,Belgian-Style Dark Strong Ale,12.1,,N,Ale
1291,zeWbuM,r2675O,,Artist Formerly Known As...,American-Style Pale Ale,6.4,28.0,N,Pale Ale
1292,zeWbuM,xPLEJv,,Astronomical,American-Style India Pale Ale,7.7,,N,IPA
1293,zeWbuM,bEbbW4,,Aye-Aye Stout,American-Style Imperial Stout,8.5,38.0,N,Stout
1294,zeWbuM,T2jBE7,,Barrel Aged French Toast,American-Style Imperial Stout,10.0,,N,Stout
1295,zeWbuM,JDuiQz,,Barrel Aged Xibalba,Pumpkin Beer,9.6,50.0,N,Other
1296,zeWbuM,4AFhZD,Limited,Barrel-Aged El Paraiso,Imperial or Double India Pale Ale,10.3,,N,IPA
1297,zeWbuM,xNwRR1,,Barrel-Aged Lunatic Blonde,Golden or Blonde Ale,7.0,40.0,N,Ale
1298,zeWbuM,SBm1yN,,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.7,,N,Other
1299,zeWbuM,ahgU5q,,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.7,5.0,N,Other
1300,zeWbuM,4QIKaS,,Bedeviled Golden Strong Ale,Belgian-Style Pale Strong Ale,9.8,26.0,N,Ale
1301,zeWbuM,ap4xYJ,,Belgian Sting,Belgian-Style Tripel,7.8,,N,Other
1302,zeWbuM,Q3NVzi,,Benevolence,American-Style Sour Ale,0.0,0.0,N,Ale
1303,zeWbuM,HV7zAX,Limited,Black Angel,Wood- and Barrel-Aged Sour Beer,6.6,,N,Other
1304,zeWbuM,Ao2WGJ,Limited,Blind Faith Dark Strong,Belgian-Style Dark Strong Ale,11.0,24.0,N,Ale
1305,zeWbuM,H0XwS1,,Bombadile,American-Style Sour Ale,4.2,,N,Ale
1306,zeWbuM,mUnx2j,,Botanica,Wild Beer,7.2,30.0,N,Other
1307,zeWbuM,POJJS2,Winter,Bourbon Barrel Aged Milk & Cookies,American-Style Imperial Stout,9.5,,N,Stout
1308,zeWbuM,5cQlKx,,Bourbon Barrel Aged Oblivion,Wood- and Barrel-Aged Sour Beer,10.5,15.0,N,Other
1309,zeWbuM,dRyNV2,,Bramble Barrel,Wood- and Barrel-Aged Sour Beer,8.6,,N,Other
1310,zeWbuM,XggUks,,Brett Burglar,Brett Beer,7.3,,N,Other
1311,zeWbuM,v1UIVn,,Brettaberry,French & Belgian-Style Saison,5.5,,N,Saison
1312,zeWbuM,odCT1O,,Brettabolic,French & Belgian-Style Saison,5.9,,N,Saison
1313,zeWbuM,sTaQFz,,Bretticent Wild Ale,French & Belgian-Style Saison,6.5,,N,Saison
1314,zeWbuM,s0sxB5,,BURST (Passionfruit Lychee),American-Style Sour Ale,4.5,,N,Ale
1315,zeWbuM,tNbyBo,,CaliMost Gose,Contemporary Gose,4.1,,N,Other
1316,zeWbuM,CCaFqo,Limited,Canvas Series: Dalliance,Wild Beer,5.4,,N,Other
1317,zeWbuM,gk18jt,,Cardinal Sin Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,N,Other
1318,zeWbuM,fB4V2z,Not Available,Cherry Key Lime Burst,American-Style Sour Ale,4.5,,N,Ale
1319,zeWbuM,Al8W3R,,Chocolate Covered Black Angel,Wood- and Barrel-Aged Sour Beer,7.2,,N,Other
1320,zeWbuM,W2J5zZ,,Clarence,Traditional German-Style Bock,5.1,,N,Other
1321,zeWbuM,kn6cNg,,Coastal Love,Juicy or Hazy India Pale Ale,6.3,,N,IPA
1322,zeWbuM,1hPE4A,Limited,Coolcumber,American-Style Pale Ale,5.3,20.0,N,Pale Ale
1323,zeWbuM,uDoVmZ,,Dark & Stormy,Wood- and Barrel-Aged Strong Beer,10.5,,N,Other
1324,zeWbuM,OeLzeV,,Dark Age Bourbon Stout,Wood- and Barrel-Aged Strong Beer,,,N,Other
1325,zeWbuM,lAywEs,,Dark Age Coffee,American-Style Imperial Stout,11.8,,N,Stout
1326,zeWbuM,TsDgX7,,Dark Arts,American-Style Imperial Stout,15.0,,N,Stout
1327,zeWbuM,0YHKvu,Limited,Dark Arts Imperial Stout (Aged In Tequila Barrels W/ Espresso),American-Style Imperial Stout,15.0,,N,Stout
1328,zeWbuM,OEYWmT,Limited,Dark Arts Imperial Stout (Aged In Tequila Barrels),American-Style Imperial Stout,15.0,,N,Stout
1329,zeWbuM,tF4F46,,Decoy Red,American-Style Amber/Red Ale,,,N,Ale
1330,zeWbuM,NUhkOJ,,Denouement,Wood- and Barrel-Aged Sour Beer,7.4,,N,Other
1331,zeWbuM,3D4cCr,,Denouncement,Belgian-Style Tripel,7.4,,N,Other
1332,zeWbuM,YJlhDs,,Devilwood,Belgian-Style Blonde Ale,9.7,,N,Ale
1333,zeWbuM,4VUq7o,,Dirndl Bock,Traditional German-Style Bock,8.0,23.0,N,Other
1334,zeWbuM,mKdBV4,,Divergence,Brown Porter,7.6,,N,Porter
1335,zeWbuM,2HOkAT,,Don't Tread on Maize,American-Style Pale Ale,5.7,50.0,N,Pale Ale
1336,zeWbuM,0Gpv1l,,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,5.1,,N,Other
1337,zeWbuM,zoQYXk,,El Paraiso,American-Style Imperial Stout,9.5,50.0,N,Stout
1338,zeWbuM,RB2lBE,,El Paraiso Imperial Coffee Stout,American-Style Imperial Stout,9.5,50.0,N,Stout
1339,zeWbuM,i8n7rR,,Empress,Belgian-Style Tripel,9.2,29.0,N,Other
1340,zeWbuM,vNSl2l,,Empyrean Barrel Aged DIPA,Imperial or Double India Pale Ale,,,N,IPA
1341,zeWbuM,TTC70g,,Ferme De Chien,American-Style Sour Ale,5.8,,N,Ale
1342,zeWbuM,c89MhB,,Ferme de Grand-Père,Wild Beer,7.0,,N,Other
1343,zeWbuM,KqOFs4,,Fille De Ferme,French & Belgian-Style Saison,4.1,,N,Saison
1344,zeWbuM,hrOHKW,,Framboos Morte,Belgian-Style Fruit Lambic,5.8,,N,Other
1345,zeWbuM,GvLQuf,,Freak of Nature Double IPA,Imperial or Double India Pale Ale,8.5,,N,IPA
1346,zeWbuM,eb7YJu,,Freaky Friday DIPA,Imperial or Double India Pale Ale,9.4,100.0,N,IPA
1347,zeWbuM,oSmAG4,,French Toast Stout,Specialty Stouts,8.5,,N,Other
1348,zeWbuM,vsBuXs,,Garçon de Ferme,Wild Beer,6.2,,N,Other
1349,zeWbuM,0y4nnw,,Genesis Blonde Sour,Wood- and Barrel-Aged Sour Beer,6.6,,N,Other
1350,zeWbuM,rtijFf,,German Chocolate Cake,American-Style Imperial Stout,8.8,,N,Stout
1351,zeWbuM,VYn3DX,,Gluten FREEk,Gluten-Free Beer,,,N,Other
1352,zeWbuM,GuqMTL,,Glutenous Minimus,American-Style India Pale Ale,6.9,60.0,N,IPA
1353,zeWbuM,xvaspc,Limited,Golden Angel,Wild Beer,7.0,,N,Other
1354,zeWbuM,pKsZB3,,Guajava,Wild Beer,6.6,,N,Other
1355,zeWbuM,ERsAqc,,Happy Blending,Wild Beer,6.6,,N,Other
1356,zeWbuM,SjsyR4,,Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,5.4,,N,Hefeweizen
1357,zeWbuM,7sVrMy,,Heresy Brown Ale,American-Style Brown Ale,7.4,,N,Ale
1358,zeWbuM,kCEfWP,,Hop Burglar IPA,American-Style India Pale Ale,6.5,57.0,N,IPA
1359,zeWbuM,J7GqdV,,Hop Cocoa,Brown Porter,6.5,,N,Porter
1360,zeWbuM,IhlUMM,,Horti-Glory,French & Belgian-Style Saison,6.0,,N,Saison
1361,zeWbuM,vMxgbR,,Imperial Coolcumber,Wood- and Barrel-Aged Beer,9.0,,N,Other
1362,zeWbuM,qlaz03,,Incandescent,Wood- and Barrel-Aged Sour Beer,7.0,,N,Other
1363,zeWbuM,lupid2,,Incorangeible,American-Style India Pale Ale,7.5,,N,IPA
1364,zeWbuM,FbWQ6o,,Indulgence - Royal Cache Barrel Reserve Series,Brett Beer,9.6,,N,Other
1365,zeWbuM,MVxTfq,,Infidel Porter,Brown Porter,6.8,,N,Porter
1366,zeWbuM,a1wodd,,Iron Lady Black IPA,American-Style India Pale Ale,9.5,,N,IPA
1367,zeWbuM,8ZAWxN,,Juiceless IPA,American-Style India Pale Ale,7.7,,N,IPA
1368,zeWbuM,kRvKsv,,Khatta Masala,American-Style Sour Ale,7.7,,N,Ale
1369,zeWbuM,rbsfLG,,La Bonté With Figs,Wood- and Barrel-Aged Sour Beer,6.5,0.0,N,Other
1370,zeWbuM,TfchXI,,La Bonté With Pear,Wood- and Barrel-Aged Sour Beer,6.5,,N,Other
1371,zeWbuM,WW8X36,Year Round,La Bonte with Plum,American-Style Sour Ale,6.5,,N,Ale
1372,zeWbuM,T5Jn9U,,La Mûre Morte,American-Style Sour Ale,6.4,,N,Ale
1373,zeWbuM,A0uNLd,,Le Peche Blanc,French & Belgian-Style Saison,,,N,Saison
1374,zeWbuM,XQCeM9,,Lieutenant Dank,American-Style India Pale Ale,6.6,,N,IPA
1375,zeWbuM,tEZAcm,,Lil' Hershey Brown Ale,American-Style Brown Ale,5.2,34.0,N,Ale
1376,zeWbuM,YRPhu0,,Lost Toys Blend  #2,Wood- and Barrel-Aged Sour Beer,6.4,40.0,N,Other
1377,zeWbuM,pmqiHa,,Lunatic Blonde,Belgian-Style Blonde Ale,6.5,21.0,N,Ale
1378,zeWbuM,pZBjLH,,Lupulin Lab,American-Style India Pale Ale,7.2,,N,IPA
1379,zeWbuM,LcN97V,Limited,Lusus Naturae,Imperial or Double India Pale Ale,8.4,,N,IPA
1380,zeWbuM,VekAPs,,Malice,American-Style Sour Ale,6.0,,N,Ale
1381,zeWbuM,pDVNPC,,Marina,Wood- and Barrel-Aged Sour Beer,6.5,,N,Other
1382,zeWbuM,fW6fl9,,Medora,Wild Beer,6.6,,N,Other
1383,zeWbuM,VYHymD,,Melisseus Lavender Honey Ale,Specialty Honey Lager or Ale,6.2,32.0,N,Ale
1384,zeWbuM,coddoN,,Metatropics,Wild Beer,6.2,,N,Other
1385,zeWbuM,sFUDwC,,Milk & Cookies,Sweet or Cream Stout,7.2,,N,Stout
1386,zeWbuM,7s0mve,,Mint Julep,American-Style Amber/Red Ale,9.7,28.0,N,Ale
1387,zeWbuM,v5WGhI,,Montmaretto,Wild Beer,6.9,,N,Other
1388,zeWbuM,xhVyCR,,Montmartre,American-Style Sour Ale,6.9,,N,Ale
1389,zeWbuM,b9P5yi,,Moogfest Chocolate IPA,American-Style India Pale Ale,,,N,IPA
1390,zeWbuM,fPiLBK,,Mosaic Saison,French & Belgian-Style Saison,6.5,,N,Saison
1391,zeWbuM,KqbDiV,,Myrtille,American-Style Sour Ale,6.0,,N,Ale
1392,zeWbuM,vrxf0p,,Napoleon Complex,American-Style Pale Ale,5.2,,N,Pale Ale
1393,zeWbuM,LNnA30,,Nectarphillia,American-Style Sour Ale,,,N,Ale
1394,zeWbuM,5P2bIv,,Oak Fermented Cider,Fruit Cider,7.0,,N,Other
1395,zeWbuM,hilPSM,,Oaxacan,Wood- and Barrel-Aged Sour Beer,7.1,,N,Other
1396,zeWbuM,b1WplX,Limited,Oblivion,Wood- and Barrel-Aged Sour Beer,8.7,,N,Other
1397,zeWbuM,NzW2ds,,Oh My Quad,Belgian-Style Quadrupel,13.4,,N,Other
1398,zeWbuM,y6n4wX,,Old Fashioned,Wood- and Barrel-Aged Beer,9.0,,N,Other
1399,zeWbuM,2N6K99,,Omnipresence,American-Style Sour Ale,0.0,0.0,N,Ale
1400,zeWbuM,IJeuy7,,Orange Peel Pale Ale,American-Style Pale Ale,5.5,,N,Pale Ale
1401,zeWbuM,dtvEux,,Pacificmost Gose,Contemporary Gose,4.1,,N,Other
1402,zeWbuM,4PnG98,,Pallino Wit Biere,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.6,19.0,N,Other
1403,zeWbuM,a1EmLs,,Pearfigt,American-Style India Pale Ale,6.3,,N,IPA
1404,zeWbuM,K2UDbn,,Permeo,Wood- and Barrel-Aged Sour Beer,6.4,,N,Other
1405,zeWbuM,ndx7rb,,Pernicious IPA,American-Style India Pale Ale,7.3,70.0,N,IPA
1406,zeWbuM,xIvc3U,,Persistence,American-Style Sour Ale,9.0,,N,Ale
1407,zeWbuM,kBjb55,,Pick Me! Pale Ale: Walt's Pick,American-Style Pale Ale,5.2,,N,Pale Ale
1408,zeWbuM,wMD1lE,,Plainsdealer,Wood- and Barrel-Aged Sour Beer,8.0,,N,Other
1409,709vEK,aye7FH,Limited,Points Unknown IPA,Imperial or Double India Pale Ale,9.5,72.0,N,IPA
1410,zeWbuM,egp8Ia,,Pompoen,American-Style Sour Ale,0.0,0.0,N,Ale
1411,zeWbuM,gjW4IZ,,Poperinge Saison,French & Belgian-Style Saison,7.3,49.0,N,Saison
1412,zeWbuM,EFFuAB,Limited,Prevalence,Wood- and Barrel-Aged Sour Beer,7.2,,N,Other
1413,zeWbuM,DYKPfV,Limited,Pumpkin Up The Volume,Pumpkin Beer,7.3,,N,Other
1414,zeWbuM,IoQdqS,,Queen Bee Stout,American-Style Imperial Stout,9.0,30.0,N,Stout
1415,zeWbuM,tKGkbS,,Recurrent,American-Style Sour Ale,0.0,0.0,N,Ale
1416,zeWbuM,aFJgz3,,Red Angel,Wild Beer,7.0,,N,Other
1417,zeWbuM,SbIfw8,,Resonare,American-Style Sour Ale,6.0,,N,Ale
1418,zeWbuM,DT7u89,,Reticent Saison,French & Belgian-Style Saison,6.5,26.0,N,Saison
1419,zeWbuM,XhBZCC,,Reverence,Belgian-Style Pale Ale,,,N,Pale Ale
1420,zeWbuM,92ygKI,,Rubus Viola,American-Style Sour Ale,7.6,25.0,N,Ale
1421,zeWbuM,8pKz4b,,S'mores Stout,American-Style Imperial Stout,9.2,40.0,N,Stout
1422,zeWbuM,igfon5,,Saison V: Chocolate Raspberry,French & Belgian-Style Saison,7.0,,N,Saison
1423,zeWbuM,0lM6gR,,Sandiaca,Wood- and Barrel-Aged Sour Beer,7.6,,N,Other
1424,zeWbuM,J3jwtK,,Sauvage Wine Barrel Saison,French & Belgian-Style Saison,,,N,Saison
1425,zeWbuM,BKjO9U,,Serenity,French & Belgian-Style Saison,5.5,,N,Saison
1426,zeWbuM,6KzIFa,,Serotina,American-Style Sour Ale,8.0,,N,Ale
1427,zeWbuM,cyfIZR,,Silencio,Wood- and Barrel-Aged Sour Beer,7.4,40.0,N,Other
1428,zeWbuM,MVSPEW,,Sir Ryan the Pounder,Session Beer,5.2,60.0,N,Other
1429,zeWbuM,lw0Fyt,,Southern Ambrosia,Fruit Beer,10.0,,N,Other
1430,zeWbuM,mmWBr9,,Super Flare,American-Style India Pale Ale,7.5,,N,IPA
1431,zeWbuM,ypgHpH,,Sweet Talker IPA,American-Style India Pale Ale,4.0,25.0,N,IPA
1432,zeWbuM,uVmHoe,,Terra Locale Appalachia,French & Belgian-Style Saison,7.2,,N,Saison
1433,zeWbuM,Yfvpuf,,Terra Merita,Wood- and Barrel-Aged Sour Beer,5.7,,N,Other
1434,zeWbuM,yXjnTo,,Thirst Puncher Experimental IPA,American-Style India Pale Ale,7.5,,N,IPA
1435,zeWbuM,nMYHKg,,Tributary,French & Belgian-Style Saison,8.8,,N,Saison
1436,zeWbuM,jqyFHC,,Tropicmost Passionfruit Gose,Leipzig-Style Gose,4.1,45.0,N,Other
1437,zeWbuM,b8u1XO,,Tyranny Hoppy Red Ale,Irish-Style Red Ale,7.0,55.0,N,Ale
1438,zeWbuM,l3fbWr,,Tyrant Double Red,Imperial Red Ale,8.5,,N,Ale
1439,zeWbuM,IUcrXz,,Uncle Rick's Pilsner,American-Style Pilsener,5.0,,N,Other
1440,zeWbuM,BSkl9G,,Watermelon Dragonfruit Burst,American-Style Sour Ale,4.5,,N,Ale
1441,zeWbuM,1FgcBI,,Watermelon Saison,French & Belgian-Style Saison,4.7,,N,Saison
1442,zeWbuM,Lbs4gB,,White Angel,Wild Beer,7.3,,N,Other
1443,KDZsJL,pmLdqG,,Wicked City,Chili Pepper Beer,10.5,56.0,N,Other
1444,zeWbuM,Z4HwWZ,Limited,Wicked Weed Lost Toys Blend #1,Wild Beer,6.4,,N,Other
1445,zeWbuM,SZsbMc,,Xibalba,Herb and Spice Beer,8.2,,N,Other
1446,zeWbuM,HjR9Kl,,XII Peach Habanero Saison,French & Belgian-Style Saison,6.6,,N,Saison
1447,zeWbuM,J3EsS0,,XLIV Mango Habanero Saison,French & Belgian-Style Saison,7.3,25.0,N,Saison
1448,zeWbuM,S6ZWR1,,XXXI Saison,French & Belgian-Style Saison,,,N,Saison
1449,zeWbuM,neSCIv,,Abundance,American-Style India Pale Ale,6.7,,N,IPA
1450,zeWbuM,BUu9h9,,Aicha,Wood- and Barrel-Aged Sour Beer,6.4,,N,Other
1451,zeWbuM,dHnbxN,,Amorous - Royal Cache Barrel Reserve Series,Wood- and Barrel-Aged Sour Beer,7.0,,N,Other
1452,zeWbuM,QunAJY,,Angel of Darkness,American-Style Sour Ale,11.0,,N,Ale
1453,zeWbuM,nocxqa,,Appalachia,Session India Pale Ale,4.7,,N,IPA
1454,zeWbuM,x7i8Fx,,Arcanic,Belgian-Style Dark Strong Ale,12.1,,N,Ale
1455,zeWbuM,r2675O,,Artist Formerly Known As...,American-Style Pale Ale,6.4,28.0,N,Pale Ale
1456,zeWbuM,xPLEJv,,Astronomical,American-Style India Pale Ale,7.7,,N,IPA
1457,zeWbuM,bEbbW4,,Aye-Aye Stout,American-Style Imperial Stout,8.5,38.0,N,Stout
1458,zeWbuM,T2jBE7,,Barrel Aged French Toast,American-Style Imperial Stout,10.0,,N,Stout
1459,zeWbuM,JDuiQz,,Barrel Aged Xibalba,Pumpkin Beer,9.6,50.0,N,Other
1460,zeWbuM,4AFhZD,Limited,Barrel-Aged El Paraiso,Imperial or Double India Pale Ale,10.3,,N,IPA
1461,zeWbuM,xNwRR1,,Barrel-Aged Lunatic Blonde,Golden or Blonde Ale,7.0,40.0,N,Ale
1462,zeWbuM,SBm1yN,,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.7,,N,Other
1463,zeWbuM,ahgU5q,,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.7,5.0,N,Other
1464,zeWbuM,4QIKaS,,Bedeviled Golden Strong Ale,Belgian-Style Pale Strong Ale,9.8,26.0,N,Ale
1465,zeWbuM,ap4xYJ,,Belgian Sting,Belgian-Style Tripel,7.8,,N,Other
1466,zeWbuM,Q3NVzi,,Benevolence,American-Style Sour Ale,0.0,0.0,N,Ale
1467,zeWbuM,HV7zAX,Limited,Black Angel,Wood- and Barrel-Aged Sour Beer,6.6,,N,Other
1468,zeWbuM,Ao2WGJ,Limited,Blind Faith Dark Strong,Belgian-Style Dark Strong Ale,11.0,24.0,N,Ale
1469,zeWbuM,H0XwS1,,Bombadile,American-Style Sour Ale,4.2,,N,Ale
1470,zeWbuM,mUnx2j,,Botanica,Wild Beer,7.2,30.0,N,Other
1471,zeWbuM,POJJS2,Winter,Bourbon Barrel Aged Milk & Cookies,American-Style Imperial Stout,9.5,,N,Stout
1472,zeWbuM,5cQlKx,,Bourbon Barrel Aged Oblivion,Wood- and Barrel-Aged Sour Beer,10.5,15.0,N,Other
1473,zeWbuM,dRyNV2,,Bramble Barrel,Wood- and Barrel-Aged Sour Beer,8.6,,N,Other
1474,zeWbuM,XggUks,,Brett Burglar,Brett Beer,7.3,,N,Other
1475,zeWbuM,v1UIVn,,Brettaberry,French & Belgian-Style Saison,5.5,,N,Saison
1476,zeWbuM,odCT1O,,Brettabolic,French & Belgian-Style Saison,5.9,,N,Saison
1477,zeWbuM,sTaQFz,,Bretticent Wild Ale,French & Belgian-Style Saison,6.5,,N,Saison
1478,zeWbuM,s0sxB5,,BURST (Passionfruit Lychee),American-Style Sour Ale,4.5,,N,Ale
1479,zeWbuM,tNbyBo,,CaliMost Gose,Contemporary Gose,4.1,,N,Other
1480,zeWbuM,CCaFqo,Limited,Canvas Series: Dalliance,Wild Beer,5.4,,N,Other
1481,zeWbuM,gk18jt,,Cardinal Sin Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,N,Other
1482,zeWbuM,fB4V2z,Not Available,Cherry Key Lime Burst,American-Style Sour Ale,4.5,,N,Ale
1483,zeWbuM,Al8W3R,,Chocolate Covered Black Angel,Wood- and Barrel-Aged Sour Beer,7.2,,N,Other
1484,zeWbuM,W2J5zZ,,Clarence,Traditional German-Style Bock,5.1,,N,Other
1485,zeWbuM,kn6cNg,,Coastal Love,Juicy or Hazy India Pale Ale,6.3,,N,IPA
1486,zeWbuM,1hPE4A,Limited,Coolcumber,American-Style Pale Ale,5.3,20.0,N,Pale Ale
1487,zeWbuM,uDoVmZ,,Dark & Stormy,Wood- and Barrel-Aged Strong Beer,10.5,,N,Other
1488,zeWbuM,OeLzeV,,Dark Age Bourbon Stout,Wood- and Barrel-Aged Strong Beer,,,N,Other
1489,zeWbuM,lAywEs,,Dark Age Coffee,American-Style Imperial Stout,11.8,,N,Stout
1490,zeWbuM,TsDgX7,,Dark Arts,American-Style Imperial Stout,15.0,,N,Stout
1491,zeWbuM,0YHKvu,Limited,Dark Arts Imperial Stout (Aged In Tequila Barrels W/ Espresso),American-Style Imperial Stout,15.0,,N,Stout
1492,zeWbuM,OEYWmT,Limited,Dark Arts Imperial Stout (Aged In Tequila Barrels),American-Style Imperial Stout,15.0,,N,Stout
1493,zeWbuM,tF4F46,,Decoy Red,American-Style Amber/Red Ale,,,N,Ale
1494,zeWbuM,NUhkOJ,,Denouement,Wood- and Barrel-Aged Sour Beer,7.4,,N,Other
1495,zeWbuM,3D4cCr,,Denouncement,Belgian-Style Tripel,7.4,,N,Other
1496,zeWbuM,YJlhDs,,Devilwood,Belgian-Style Blonde Ale,9.7,,N,Ale
1497,zeWbuM,4VUq7o,,Dirndl Bock,Traditional German-Style Bock,8.0,23.0,N,Other
1498,zeWbuM,mKdBV4,,Divergence,Brown Porter,7.6,,N,Porter
1499,zeWbuM,2HOkAT,,Don't Tread on Maize,American-Style Pale Ale,5.7,50.0,N,Pale Ale
1500,zeWbuM,0Gpv1l,,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,5.1,,N,Other
1501,zeWbuM,zoQYXk,,El Paraiso,American-Style Imperial Stout,9.5,50.0,N,Stout
