brewery,beer_name,beer_style,availability,abv,master_style
Oskar Blues Brewery,Say Sean Huell Melon Dry Hopped Saison,French & Belgian-Style Saison,,4.0,Saison
Oskar Blues Brewery,Smidy,Sweet or Cream Stout,,5.2,Stout
Oskar Blues Brewery,Smoke on The Water,Smoke Beer (Lager or Ale),Limited,7.0,Other
Oskar Blues Brewery,Sour Cherry Ten FIDY,Wood- and Barrel-Aged Sour Beer,Limited,10.0,Other
Oskar Blues Brewery,Southern Hemisphere Hopped ESB,Extra Special Bitter,,6.0,Other
Oskar Blues Brewery,Spinner,American-Style India Pale Ale,,5.6,IPA
Oskar Blues Brewery,Station 3,South German-Style Hefeweizen / Hefeweissbier,,5.7,Hefeweizen
Oskar Blues Brewery,Steep Coast Strata Douple IPA,Imperial or Double India Pale Ale,,8.0,IPA
Oskar Blues Brewery,Steep Coast Zappa,Imperial or Double India Pale Ale,,8.0,IPA
Oskar Blues Brewery,Sticky Icky,American-Style India Pale Ale,,6.5,IPA
Oskar Blues Brewery,Ten FIDY,American-Style Imperial Stout,,10.5,Stout
Oskar Blues Brewery,Ten Fidy - Bulleit Bourbon Barrel Aged,American-Style Imperial Stout,Limited,11.0,Stout
Oskar Blues Brewery,Ten FIDY - Double Barrel Aged (Port/Bourbon),American-Style Imperial Stout,,13.3,Stout
Oskar Blues Brewery,Ten Fidy Double Barrel Aged - Rum And Bourbon,American-Style Imperial Stout,,16.5,Stout
Oskar Blues Brewery,Ten FIDY Stranahans Bourbon Barrel Aged,American-Style Imperial Stout,,10.5,Stout
Oskar Blues Brewery,The Mutilator,German-Style Doppelbock,Limited,7.0,Other
Oskar Blues Brewery,The White Buffalo,American-Style India Pale Ale,,6.0,IPA
Oskar Blues Brewery,Tickled Pink,French & Belgian-Style Saison,,6.6,Saison
Oskar Blues Brewery,Toked Porter,Brown Porter,Limited,,Porter
Oskar Blues Brewery,Tropical Mama’s,American-Style Pilsener,,5.3,Other
Oskar Blues Brewery,Velvet Elvis Stout,American-Style Stout,Limited,,Stout
Oskar Blues Brewery,Vienna Lager,Vienna-Style Lager,,5.7,Lager
Oskar Blues Brewery,Wango Mango,Fruit Beer,,6.0,Other
Oskar Blues Brewery,Wild Basin Black Raspberry,Specialty Beer,,5.0,Other
Oskar Blues Brewery,Wild Basin Classic Lime,Flavored Malt Beverage,,5.0,Other
Oskar Blues Brewery,Wild Basin Cucumber Peach,Flavored Malt Beverage,,5.0,Other
Oskar Blues Brewery,Wild Basin Lemon Agave Hibiscus,Flavored Malt Beverage,,5.0,Other
Oskar Blues Brewery,Wild Basin Melon Basil,Flavored Malt Beverage,,5.0,Other
Oskar Blues Brewery,XMas Chub,Herb and Spice Beer,,8.0,Other
UpCountry Brewing Co.,Bogey Free,American-Style India Pale Ale,,5.1,IPA
UpCountry Brewing Co.,Hopped Red,American-Style Amber/Red Ale,,7.3,Ale
UpCountry Brewing Co.,Kettle Sour,American-Style Sour Ale,,4.5,Ale
UpCountry Brewing Co.,Only Always Blonde,Golden or Blonde Ale,,5.0,Ale
UpCountry Brewing Co.,Soon To Be Named,Brown Porter,,5.7,Porter
Boondocks Brewing,Baldwin Belgian IPA,Belgian-Style Pale Ale,Limited,7.9,Pale Ale
Boondocks Brewing,Blue Ridge Brutal Brown,American-Style Brown Ale,Year Round,5.5,Ale
Boondocks Brewing,Campfire Scottish Ale,Scottish-Style Export Ale,Year Round,6.0,Ale
Boondocks Brewing,Chief's Cherry Stout,American-Style Stout,Limited,8.3,Stout
Boondocks Brewing,Claybank Kolsch,German-Style Kölsch / Köln-Style Kölsch,Limited,4.7,Other
Boondocks Brewing,Crumpler Crippler Citra 2XIPA,American-Style India Pale Ale,Year Round,8.5,IPA
Boondocks Brewing,Honey Orange Kolsch,German-Style Kölsch / Köln-Style Kölsch,Year Round,5.3,Other
Boondocks Brewing,JMB Pumpkin Stout,American-Style Imperial Stout,Fall,10.0,Stout
Boondocks Brewing,JMB Stout,American-Style Imperial Stout,Year Round,10.0,Stout
Boondocks Brewing,Third Knob Truth Serum Belgian Tripel,Belgian-Style Tripel,Year Round,9.0,Other
Boondocks Brewing,West Jefferson Centennial Ale,American-Style India Pale Ale,Year Round,7.0,IPA
Dirtbag Ales,The IPA,American-Style India Pale Ale,,7.2,IPA
Dirtbag Ales,The Kölsch,German-Style Kölsch / Köln-Style Kölsch,,5.8,Other
Brewery Bhavana,Bloom,Belgian-Style Tripel,Year Round,8.1,Other
Brewery Bhavana,Borean,Aged Beer (Ale or Lager),Limited,5.0,Other
Brewery Bhavana,Coffee Porter,Robust Porter,Limited,6.7,Porter
Brewery Bhavana,Cranberry Grizette,French & Belgian-Style Saison,Limited,4.5,Saison
Brewery Bhavana,Dig,American-Style Stout,Year Round,6.4,Stout
Brewery Bhavana,Glean,Session Beer,Year Round,6.4,Other
Brewery Bhavana,Grove,Imperial or Double India Pale Ale,Year Round,8.0,IPA
Brewery Bhavana,Helles Lager,Münchner (Munich)-Style Helles,Limited,5.0,Other
Brewery Bhavana,Lemongrass Saison,French & Belgian-Style Saison,Limited,6.7,Saison
Brewery Bhavana,Plow,American-Style Pale Ale,Year Round,5.5,Pale Ale
Brewery Bhavana,Radiant IPA,American-Style India Pale Ale,Limited,7.2,IPA
Brewery Bhavana,Rift #2,American-Style Imperial Stout,Limited,11.0,Stout
Brewery Bhavana,Sow,Belgian-Style Blonde Ale,Year Round,4.2,Ale
Brewery Bhavana,Sprout,Belgian-Style Dubbel,Year Round,7.6,Other
Brewery Bhavana,Till,French & Belgian-Style Saison,Year Round,4.8,Saison
Brewery Bhavana,Tropical Brett IPA,American-Style India Pale Ale,Limited,6.8,IPA
Brewery Bhavana,Wilt,Belgian-Style Quadrupel,Year Round,9.0,Other
Brewery Bhavana,Yield,Session India Pale Ale,Year Round,4.5,IPA
Bright Penny Brewing Company,10-52,South German-Style Hefeweizen / Hefeweissbier,Year Round,5.3,Hefeweizen
Bright Penny Brewing Company,Buena Onda Cerveza,American-Style India Pale Lager,Year Round,4.2,Lager
Bright Penny Brewing Company,Dirty Minds,South German-Style Dunkel Weizen / Dunkel Weissbier,Year Round,5.0,Other
Bright Penny Brewing Company,June Bug,Brown Porter,Year Round,5.5,Porter
Bright Penny Brewing Company,Middle Finger To Monday,American-Style India Pale Ale,Year Round,6.5,IPA
Bright Penny Brewing Company,Offended Opinion,American-Style Amber/Red Ale,Year Round,5.5,Ale
Bright Penny Brewing Company,PB Grodziskie/Gratzer 10/15,Grodziskie,Year Round,3.0,Other
Bright Penny Brewing Company,Porcelain Orphan,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,5.5,Other
Bright Penny Brewing Company,Rack Out,British-Style Imperial Stout,Year Round,11.0,Stout
Bright Penny Brewing Company,Ramslayer,American-Style India Pale Ale,Year Round,6.0,IPA
Bright Penny Brewing Company,Rosie's Barrel Rack Out,British-Style Imperial Stout,Year Round,11.0,Stout
Bright Penny Brewing Company,Sunny Citation,Imperial or Double India Pale Ale,Year Round,8.0,IPA
Bright Penny Brewing Company,The Friendly Neighbor,French & Belgian-Style Saison,Year Round,7.6,Saison
Bull Durham Beer Company,Lollygagger,German-Style Kölsch / Köln-Style Kölsch,Year Round,4.7,Other
Bull Durham Beer Company,Water Tower Wheat,German-Style Leichtes Weizen / Weissbier,Year Round,4.4,Other
Carolina Brewery,Alter Ego Altbier,German-Style Altbier,Seasonal,,Other
Carolina Brewery,Bullpen Pale Ale,American-Style Pale Ale,Seasonal,,Pale Ale
Carolina Brewery,Copperline Amber Ale,American-Style Amber/Red Ale,Year Round,5.2,Ale
Carolina Brewery,Downtown Trolley Brown,American-Style Brown Ale,Seasonal,,Ale
Carolina Brewery,Firecracker Pale Ale,American-Style Pale Ale,Seasonal,,Pale Ale
Carolina Brewery,Flagship India Pale Ale,American-Style India Pale Ale,Year Round,,IPA
Carolina Brewery,Franklin Street Lager,American-Style Lager,Seasonal,,Lager
Carolina Brewery,Funky Monk Ale,Other Belgian-Style Ales,Seasonal,,Other
Carolina Brewery,Jumpin' Bean Coffee Stout,American-Style Stout,Limited,,Stout
Carolina Brewery,Maibock,German-Style Heller Bock/Maibock,Seasonal,,Other
Carolina Brewery,Myth Perpetuator,Imperial or Double India Pale Ale,Seasonal,9.2,IPA
Carolina Brewery,North Carolina Gose West,Leipzig-Style Gose,Limited,,Other
Carolina Brewery,Oatmeal Porter,Brown Porter,Year Round,5.9,Porter
Carolina Brewery,Old Familiar Barley Wine,American-Style Barley Wine Ale,Seasonal,8.3,Ale
Carolina Brewery,Old North State Stout,American-Style Stout,Seasonal,,Stout
Carolina Brewery,Pamlico,American-Style Pale Ale,,5.2,Pale Ale
Carolina Brewery,Phil N. Topemove Imperial Stout,American-Style Imperial Stout,Seasonal,7.5,Stout
Carolina Brewery,Pumpkin Ale,Pumpkin Beer,Limited,6.0,Other
Carolina Brewery,Santa's Secret,Herb and Spice Beer,Seasonal,5.9,Other
Carolina Brewery,Session IPA,Session India Pale Ale,Seasonal,4.8,IPA
Carolina Brewery,Sky Blue Golden Ale,German-Style Kölsch / Köln-Style Kölsch,Year Round,4.8,Other
Carolina Brewery,Super Saaz Imperial Pilsner,German-Style Pilsener,Limited,8.3,Other
Carolina Brewery,To Hell n’ Bock,Traditional German-Style Bock,Seasonal,,Other
Carolina Brewery,Toffee Stout,Specialty Stouts,,6.0,Other
Carolina Brewery,Tripel,Belgian-Style Tripel,,8.0,Other
Carolina Brewery,West End Wheat,American-Style Wheat Beer,Year Round,,Wheat Beer
Rock Bottom Restaurant & Brewery,10 West IPA,American-Style India Pale Ale,,6.7,IPA
Rock Bottom Restaurant & Brewery,513 Kolsch,German-Style Kölsch / Köln-Style Kölsch,,4.8,Other
Rock Bottom Restaurant & Brewery,Alt-Ernative Ale,Specialty Beer,,5.5,Other
Rock Bottom Restaurant & Brewery,American Dream India Pale Ale,American-Style India Pale Ale,,6.5,IPA
Rock Bottom Restaurant & Brewery,Barleywine,American-Style Barley Wine Ale,,,Ale
Rock Bottom Restaurant & Brewery,Barrel Aged Black Hawk Stout,American-Style Imperial Stout,,10.5,Stout
Rock Bottom Restaurant & Brewery,Barrel Aged Rocktoberfest,Wood- and Barrel-Aged Beer,,7.0,Other
Rock Bottom Restaurant & Brewery,Belgian Trippel,Belgian-Style Tripel,,,Other
Rock Bottom Restaurant & Brewery,Big Horn Nut Brown Ale,American-Style Brown Ale,,,Ale
Rock Bottom Restaurant & Brewery,Blitzen,Belgian-Style Tripel,Seasonal,,Other
Rock Bottom Restaurant & Brewery,Bottoms Up,German-Style Pilsener,,4.8,Other
Rock Bottom Restaurant & Brewery,Boulder Creek Pale Ale,American-Style Pale Ale,,,Pale Ale
Rock Bottom Restaurant & Brewery,Brown Bear Brown Ale,American-Style Brown Ale,,5.5,Ale
Rock Bottom Restaurant & Brewery,Cake Batter,Sweet or Cream Stout,,10.0,Stout
Rock Bottom Restaurant & Brewery,Circle City Light,German-Style Kölsch / Köln-Style Kölsch,,5.0,Other
Rock Bottom Restaurant & Brewery,Crosley Field IPA,American-Style India Pale Ale,,6.6,IPA
Rock Bottom Restaurant & Brewery,Double 10 West IPA,American-Style India Pale Ale,,8.1,IPA
Rock Bottom Restaurant & Brewery,Eric the Red,American-Style Amber/Red Ale,,5.7,Ale
Rock Bottom Restaurant & Brewery,Eureka IPA,American-Style India Pale Ale,,6.3,IPA
Rock Bottom Restaurant & Brewery,Falcon Pale Ale,American-Style Pale Ale,,,Pale Ale
Rock Bottom Restaurant & Brewery,Faller Wheat,American-Style Premium Lager,,,Lager
Rock Bottom Restaurant & Brewery,Fire Chief Ale,American-Style Amber/Red Ale,,5.7,Ale
Rock Bottom Restaurant & Brewery,French to Death,French & Belgian-Style Saison,,7.0,Saison
Rock Bottom Restaurant & Brewery,Goat Toppler Mai Bock,Ordinary Bitter,,,Other
Rock Bottom Restaurant & Brewery,Happy Pilz,German-Style Pilsener,,4.7,Other
Rock Bottom Restaurant & Brewery,Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,,,Hefeweizen
Rock Bottom Restaurant & Brewery,Heifer-Weizen,South German-Style Hefeweizen / Hefeweissbier,,,Hefeweizen
Rock Bottom Restaurant & Brewery,Honey Creek Pale Ale,American-Style Pale Ale,,,Pale Ale
Rock Bottom Restaurant & Brewery,Itasca Extra Pale Ale,English-Style India Pale Ale,,,IPA
Rock Bottom Restaurant & Brewery,Kimbo,German-Style Schwarzbier,,5.3,Other
Rock Bottom Restaurant & Brewery,Kimbo with Coffee,American-Style Dark Lager,,5.3,Lager
Rock Bottom Restaurant & Brewery,Kölsch,German-Style Kölsch / Köln-Style Kölsch,,5.0,Other
Rock Bottom Restaurant & Brewery,Kolsch-Style Ale,German-Style Kölsch / Köln-Style Kölsch,,,Other
Rock Bottom Restaurant & Brewery,Lemondrop Pils,American-Style Pilsener,,5.3,Other
Rock Bottom Restaurant & Brewery,Liquid Sun,American-Style Wheat Beer,,5.6,Wheat Beer
Rock Bottom Restaurant & Brewery,Lite Sabre  IPL,American-Style Lager,,6.9,Lager
Rock Bottom Restaurant & Brewery,Lucky U ESB,Extra Special Bitter,,5.1,Other
Rock Bottom Restaurant & Brewery,Lumpy Dog Brown,Brown Porter,,5.7,Porter
Rock Bottom Restaurant & Brewery,Maui Wowie,Juicy or Hazy India Pale Ale,,7.4,IPA
Rock Bottom Restaurant & Brewery,Moonlight Porter,Brown Porter,Limited,6.3,Porter
Rock Bottom Restaurant & Brewery,Murph's Monster Mash,Pumpkin Beer,,6.1,Other
Rock Bottom Restaurant & Brewery,Naked Otter IPA,American-Style India Pale Ale,,6.2,IPA
Rock Bottom Restaurant & Brewery,Naughty Scot Scotch Ale,Scotch Ale,,7.2,Ale
Rock Bottom Restaurant & Brewery,North Star Premium Lager,American-Style Premium Lager,,,Lager
Rock Bottom Restaurant & Brewery,Oat Malt Stout,American-Style Imperial Stout,,5.8,Stout
Rock Bottom Restaurant & Brewery,Oatmeal Stout,Oatmeal Stout,,5.2,Stout
Rock Bottom Restaurant & Brewery,Open Hearth India Pale Ale,American-Style India Pale Ale,,,IPA
Rock Bottom Restaurant & Brewery,Orange Blossom Gold,Golden or Blonde Ale,,4.8,Ale
Rock Bottom Restaurant & Brewery,Orland Park Lite,American-Style Amber (Low Calorie) Lager,,4.0,Lager
Rock Bottom Restaurant & Brewery,Plymouth New England IPA,Juicy or Hazy India Pale Ale,,6.3,IPA
Rock Bottom Restaurant & Brewery,Purple Nightie,Specialty Beer,,6.2,Other
Rock Bottom Restaurant & Brewery,Raccoon Red,American-Style Amber/Red Ale,,,Ale
Rock Bottom Restaurant & Brewery,Raccoon Red Ale,American-Style Amber/Red Ale,,,Ale
Rock Bottom Restaurant & Brewery,Ragtop Red Ale,American-Style Amber/Red Ale,,5.5,Ale
Rock Bottom Restaurant & Brewery,Razzmatazz,Golden or Blonde Ale,,5.7,Ale
Rock Bottom Restaurant & Brewery,Red Ale,Irish-Style Red Ale,,5.7,Ale
Rock Bottom Restaurant & Brewery,Rock Bottom India Pale Ale,American-Style India Pale Ale,,,IPA
Rock Bottom Restaurant & Brewery,Rock Bottom IPA,American-Style India Pale Ale,,6.0,IPA
Rock Bottom Restaurant & Brewery,Rocktoberfest,German-Style Märzen,Seasonal,5.0,Other
Rock Bottom Restaurant & Brewery,Rudolph The Prarie Red,American-Style Amber/Red Ale,,6.2,Ale
Rock Bottom Restaurant & Brewery,Saison Goux,French & Belgian-Style Saison,,,Saison
Rock Bottom Restaurant & Brewery,Snow Moon Belgian-Style Trippel Ale,Belgian-Style Tripel,,,Other
Rock Bottom Restaurant & Brewery,St. Paul Pilsner,American-Style Pilsener,,,Other
Rock Bottom Restaurant & Brewery,Stillwater Stout,American-Style Stout,,,Stout
Rock Bottom Restaurant & Brewery,Summer Blonde Ale,Golden or Blonde Ale,Summer,,Ale
Rock Bottom Restaurant & Brewery,Tart Saison,French & Belgian-Style Saison,,6.3,Saison
Rock Bottom Restaurant & Brewery,Three Pepper Ale,German-Style Kölsch / Köln-Style Kölsch,,4.8,Other
Rock Bottom Restaurant & Brewery,Truck Driver,American-Style India Pale Ale,,6.5,IPA
Rock Bottom Restaurant & Brewery,Two Tickets To Paradise,German-Style Kölsch / Köln-Style Kölsch,,5.6,Other
Rock Bottom Restaurant & Brewery,Walnut Buffalo Gold Premium Ale,American-Style Premium Lager,,,Lager
Rock Bottom Restaurant & Brewery,White Ale,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.3,Other
Rock Bottom Restaurant & Brewery,White Tiger Wheat,South German-Style Hefeweizen / Hefeweissbier,,5.3,Hefeweizen
Rock Bottom Restaurant & Brewery,Wicked Elf,Belgian-Style Dark Strong Ale,Winter,8.7,Ale
Rock Bottom Restaurant & Brewery,Wicked Winter Ale,Belgian-Style Dark Strong Ale,,7.3,Ale
Check Six Brewing Company,Brass Ring,American-Style Pale Ale,,6.0,Pale Ale
Check Six Brewing Company,Curtiss Jenny,American-Style Brown Ale,,5.3,Ale
Check Six Brewing Company,Dugan's Chocolate,Classic Irish-Style Dry Stout,,6.8,Stout
Check Six Brewing Company,Flying Circus,South German-Style Hefeweizen / Hefeweissbier,,4.7,Hefeweizen
Check Six Brewing Company,Fox 2,Irish-Style Red Ale,,6.0,Ale
Check Six Brewing Company,Gee Bee Racer,American-Style Pale Ale,,5.8,Pale Ale
Check Six Brewing Company,Harley Pope,American-Style Imperial Porter,,10.2,Porter
Check Six Brewing Company,Hat in The Ring,English-Style India Pale Ale,,8.1,IPA
Check Six Brewing Company,Sopwith Camel,American-Style Pale Ale,,6.9,Pale Ale
Check Six Brewing Company,Wendy's,Golden or Blonde Ale,,5.3,Ale
Check Six Brewing Company,Wright Flyer,American-Style Cream Ale or Lager,,4.7,Lager
Check Six Brewing Company,Wrong Way Corrigan,Classic Irish-Style Dry Stout,,6.7,Stout
Clouds Brewing,All Things Coffee,Coffee-Flavored Beer,,4.4,Other
Clouds Brewing,All Things Scottish,Scottish-Style Export Ale,Limited,4.5,Ale
Clouds Brewing,Clouds Stout,American-Style Stout,,,Stout
Clouds Brewing,El Heffe,South German-Style Hefeweizen / Hefeweissbier,,4.5,Hefeweizen
Clouds Brewing,French Oak,American-Style India Pale Ale,,7.8,IPA
Clouds Brewing,Front Street Kolsch,German-Style Kölsch / Köln-Style Kölsch,,4.6,Other
Clouds Brewing,Green Day,Specialty Beer,,4.5,Other
Clouds Brewing,Midnight Delight,Sweet or Cream Stout,Year Round,6.7,Stout
Clouds Brewing,Mission to Marzen,German-Style Märzen,,5.8,Other
Clouds Brewing,One Eye PA,American-Style India Pale Ale,,6.2,IPA
Clouds Brewing,Paddy McClouds Irish Stout,Classic Irish-Style Dry Stout,,3.8,Stout
Clouds Brewing,Precipitation pils,American-Style Pilsener,,5.2,Other
Clouds Brewing,Wolkenbrau,American-Style Lager,,4.5,Lager
Crystal Coast Brewing Company,252 Pale Ale,American-Style Pale Ale,,5.0,Pale Ale
Crystal Coast Brewing Company,Arendell IPA,American-Style India Pale Ale,,6.1,IPA
Crystal Coast Brewing Company,Atlantic Beach Blonde,American-Style Lager,Year Round,4.7,Lager
Crystal Coast Brewing Company,Black Pelican Maple Porter,Brown Porter,Winter,5.8,Porter
Crystal Coast Brewing Company,Breakwater Coffee Brown Ale,English-Style Brown Ale,,5.3,Ale
Crystal Coast Brewing Company,Crystal Coast IPA,American-Style India Pale Ale,Year Round,6.4,IPA
Crystal Coast Brewing Company,Cutter Farmhouse Pale Ale,American-Style Pale Ale,,5.4,Pale Ale
Crystal Coast Brewing Company,Eastern Bock Turtle Amber Lager,Traditional German-Style Bock,,6.2,Other
Crystal Coast Brewing Company,Hazy Coast IPA,Juicy or Hazy India Pale Ale,,6.0,IPA
Crystal Coast Brewing Company,Island Sunset Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.7,Other
Crystal Coast Brewing Company,Kill Devil Belgian Golden Ale,Belgian-Style Pale Strong Ale,,8.3,Ale
Crystal Coast Brewing Company,La Concorde Saison,French & Belgian-Style Saison,Seasonal,5.4,Saison
Crystal Coast Brewing Company,Macon Waves Double IPA w/ Raspberries,Imperial or Double India Pale Ale,,9.0,IPA
Crystal Coast Brewing Company,Macon Waves Double IPA w/ Strawberries and Guava,Imperial or Double India Pale Ale,,8.5,IPA
Crystal Coast Brewing Company,Mama's Got A Squeeze Box Sour IPA,American-Style India Pale Ale,,6.2,IPA
Crystal Coast Brewing Company,Mojito Cerveza,Experimental Beer (Lager or Ale),,4.5,Other
Crystal Coast Brewing Company,Money Island Black Lager,German-Style Schwarzbier,,5.1,Other
Crystal Coast Brewing Company,Mullet Wrapper Grisette (Tart Farmhouse Ale brewed w/ Promise Land Market),Other Belgian-Style Ales,,5.4,Other
Crystal Coast Brewing Company,Red Wheat and Blue,Fruit Wheat Ale or Lager with or without Yeast,Summer,5.5,Other
Crystal Coast Brewing Company,Sand Tiger Shark Rye Pilsner,Kellerbier or Zwickelbier,,5.6,Other
Crystal Coast Brewing Company,Sea Breeze Smoothie IPA,Juicy or Hazy India Pale Ale,,6.2,IPA
Crystal Coast Brewing Company,Sea of Fog Double IPA,Imperial or Double India Pale Ale,,9.3,IPA
Crystal Coast Brewing Company,Sundew Hoppy Pils,Contemporary American-Style Pilsener,,5.0,Other
Crystal Coast Brewing Company,Top Coast IPA,English-Style India Pale Ale,,7.2,IPA
Crystal Coast Brewing Company,Wild Pony Pils,German-Style Pilsener,,4.9,Other
Divine Barrel Brewing,All Squares Are Rectangles,American-Style Wheat Beer,Limited,5.6,Wheat Beer
Divine Barrel Brewing,Brettrospective,Brett Beer,Limited,6.3,Other
Divine Barrel Brewing,Collette's Pils,Bohemian-Style Pilsener,Limited,7.0,Other
Divine Barrel Brewing,Comfort In Darkness,Wood- and Barrel-Aged Strong Beer,Limited,10.5,Other
Divine Barrel Brewing,Conceptual Continuity,American-Style India Pale Ale,Limited,7.1,IPA
Divine Barrel Brewing,Dank Zappa,American-Style India Pale Ale,,7.6,IPA
Divine Barrel Brewing,Dark In The Daytime,English-Style Brown Ale,,3.9,Ale
Divine Barrel Brewing,Finger Guns,Imperial or Double India Pale Ale,,8.6,IPA
Divine Barrel Brewing,Here I Gosegain,Leipzig-Style Gose,,4.6,Other
Divine Barrel Brewing,Hop/Hazy Matrix,American-Style India Pale Ale,,6.2,IPA
Divine Barrel Brewing,My First Crush,American-Style Pale Ale,,5.6,Pale Ale
Divine Barrel Brewing,Petite Amie,French & Belgian-Style Saison,,4.5,Saison
Divine Barrel Brewing,Red Wine Barrel Aged Brettrospective,Brett Beer,,7.1,Other
Divine Barrel Brewing,Situation Delicate,French & Belgian-Style Saison,,5.1,Saison
Divine Barrel Brewing,Spatial Awareness,American-Style Imperial Stout,,10.0,Stout
Divine Barrel Brewing,The Big Lubelski,Grodziskie,,3.9,Other
Divine Barrel Brewing,The Feelin' I Forgot,American-Style India Pale Ale,,6.6,IPA
Divine Barrel Brewing,The Repeater,Smoke Porter,,6.8,Porter
Divine Barrel Brewing,The Situation Is The Boss,American-Style India Pale Ale,,6.5,IPA
Divine Barrel Brewing,Weiss The Juice,Berliner-Style Weisse (Wheat),,3.3,Other
Divine Barrel Brewing,"Wow, Much Juicy",American-Style India Pale Ale,,5.7,IPA
Divine Barrel Brewing,You Mosaic Me Happy,French & Belgian-Style Saison,,5.2,Saison
Divine Barrel Brewing,Your Results May Berry,Leipzig-Style Gose,,5.2,Other
Divine Barrel Brewing,Zest Intentions,American-Style Sour Ale,,5.5,Ale
Asheville Brewing Company,Christmas Jam White Ale,American-Style Wheat Beer,Winter,,Wheat Beer
Asheville Brewing Company,Draft Punk,Imperial or Double India Pale Ale,Limited,8.1,IPA
Asheville Brewing Company,Escape Artist,American-Style Pale Ale,,5.5,Pale Ale
Asheville Brewing Company,Evil Ninja,Brown Porter,,6.1,Porter
Asheville Brewing Company,Fire Escape,American-Style Pale Ale,,5.5,Pale Ale
Asheville Brewing Company,Hot Fuzzz,American-Style India Pale Ale,,5.5,IPA
Asheville Brewing Company,Houdini,American-Style Pale Ale,Year Round,5.5,Pale Ale
Asheville Brewing Company,I9PA,American-Style India Pale Ale,,4.2,IPA
Asheville Brewing Company,Ninja Latte,Brown Porter,,5.2,Porter
Asheville Brewing Company,Ninja Porter,Brown Porter,Year Round,5.25,Porter
Asheville Brewing Company,Old School,Extra Special Bitter,Year Round,3.2,Other
Asheville Brewing Company,Perfect Day IPA,American-Style India Pale Ale,,6.5,IPA
Asheville Brewing Company,Red Light,American-Style Pale Ale,Year Round,5.2,Pale Ale
Asheville Brewing Company,Rocket Girl,American-Style Lager,Year Round,4.2,Lager
Asheville Brewing Company,Roland's ESB,Extra Special Bitter,Year Round,5.0,Other
Asheville Brewing Company,Scottish,American-Style Brown Ale,,4.7,Ale
Asheville Brewing Company,Scout Stout,American-Style Stout,,5.5,Stout
Asheville Brewing Company,Shiva IPA,American-Style India Pale Ale,Year Round,6.0,IPA
Asheville Brewing Company,Slayson,French & Belgian-Style Saison,,5.6,Saison
Asheville Brewing Company,Stuntman Brown Ale,American-Style Brown Ale,Year Round,4.7,Ale
DSSOLVR,Satan Rimmed Glasses,American-Style Pilsener,Year Round,4.2,Other
Eurisko Beer Company,A Tear for Brian,American-Style India Pale Ale,Year Round,7.3,IPA
Eurisko Beer Company,A.C.E.,American-Style India Pale Ale,Year Round,6.5,IPA
Eurisko Beer Company,Bastogne Abbey Ale,Belgian-Style Dubbel,,6.5,Other
Eurisko Beer Company,Batch #1,French & Belgian-Style Saison,Year Round,5.0,Saison
Eurisko Beer Company,Biogenesis,American-Style India Pale Ale,Seasonal,6.25,IPA
Eurisko Beer Company,Bourbon Coffee Helles,Münchner (Munich)-Style Helles,Year Round,5.3,Other
Eurisko Beer Company,Candence and Cascade,American-Style Pale Ale,Year Round,5.0,Pale Ale
Eurisko Beer Company,Criz,Imperial or Double India Pale Ale,Limited,8.8,IPA
Eurisko Beer Company,Energy Turtle,Imperial or Double India Pale Ale,Limited,8.2,IPA
Eurisko Beer Company,Fashion Suicide,Imperial or Double India Pale Ale,Seasonal,8.0,IPA
Eurisko Beer Company,Fearful Symmetry,American-Style India Pale Ale,Year Round,6.6,IPA
Eurisko Beer Company,Fell a Victim,Juicy or Hazy India Pale Ale,Year Round,6.25,IPA
Eurisko Beer Company,Gesha Coffee Brown Ale,American-Style Brown Ale,Seasonal,4.0,Ale
Eurisko Beer Company,Hopfen Lager,American-Style Lager,Year Round,4.9,Lager
Eurisko Beer Company,How's Annie?,Juicy or Hazy Imperial or Double India Pale Ale,Seasonal,6.7,IPA
Eurisko Beer Company,Inner Space,American-Style Imperial Stout,Year Round,11.3,Stout
Eurisko Beer Company,Keller Pils,American-Style Pilsener,Year Round,4.3,Other
Eurisko Beer Company,Kleiner Pilz,German-Style Pilsener,Seasonal,3.8,Other
Eurisko Beer Company,Kollaborator Doppelbock,German-Style Doppelbock,Year Round,8.0,Other
Eurisko Beer Company,Kollaborator Noel,German-Style Doppelbock,Limited,8.0,Other
Eurisko Beer Company,La Angostura Coffee Porter,Robust Porter,Limited,7.0,Porter
Eurisko Beer Company,Mairzy Doats (Mared Eat Oats),French & Belgian-Style Saison,Year Round,5.1,Saison
Eurisko Beer Company,Milk Stout,American-Style Stout,Year Round,7.3,Stout
Eurisko Beer Company,Mixed Culture Buckwehat Saison,French & Belgian-Style Saison,Limited,5.5,Saison
Eurisko Beer Company,Mop-Shackled,American-Style Barley Wine Ale,Limited,11.6,Ale
Eurisko Beer Company,Mops and Brooms,British-Style Barley Wine Ale,Seasonal,13.0,Ale
Eurisko Beer Company,My Little Coconut,Imperial or Double India Pale Ale,Year Round,8.7,IPA
Eurisko Beer Company,Namaste Hazed,American-Style India Pale Ale,Limited,7.0,IPA
